GLITTER4.5: Laser Ablation Analysis Results;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C:\Element\user\Administrator\data\250605 Marijn Apetite 2\250605 Marijn Apetite 2.FIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Created: Thu Jun 05 18:07:32 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All values are reported in ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLITTER!: Trace Element Concentrations MDL filtered.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element;N612-1;N612-2;N612-3;N610-1;2024-24-Colo-1;2024-24-Colo-2;2024-24-Colo-3;2024-24-Colo-4;2024-24-Colo-5;N612-4;N610-2;2024-24-Colo-6;2024-24-Colo-8;2024-24-Colo-9;2024-24-Colo-10;N612-5;N610-3;2024-24-Colo-11;2024-24-Colo-12;2024-24-Colo-13;Bonn-062-L9-Colo-14;Bonn-062-L9-Colo-15;Bonn-062-L9-Colo-16;N610-4;N610-5;N612-6;N612-7;N612-8
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLITTER!: Mean Raw CPS background NOT subtracted.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element;N612-1;N612-2;N612-3;N610-1;2024-24-Colo-1;2024-24-Colo-2;2024-24-Colo-3;2024-24-Colo-4;2024-24-Colo-5;N612-4;N610-2;2024-24-Colo-6;2024-24-Colo-8;2024-24-Colo-9;2024-24-Colo-10;N612-5;N610-3;2024-24-Colo-11;2024-24-Colo-12;2024-24-Colo-13;Bonn-062-L9-Colo-14;Bonn-062-L9-Colo-15;Bonn-062-L9-Colo-16;N610-4;N610-5;N612-6;N612-7;N612-8
Ca43;64233;68002;63075;57228;34424;36035;33155;33631;35635;51833;43013;35843;37448;51683;41912;45686;37966;40826;40318;31751;42987;43050;45070;35731;37214;43304;44249;45726
Ca44;1680444;1865813;1773854;1651702;1037284;1048665;1000708;968065;1069613;1378885;1093458;1103987;1138381;1705673;1247345;1214797;976075;1158041;1194118;948749;1346559;1349612;1268927;955337;952064;1082818;1138574;1170168
Cr52;21354;22152;22037;189357;6565;6002;5956;5900;5500;19870;150129;5251;4528;4496;4247;16907;134977;4321;4059;3808;3872;3755;4083;127554;128913;14968;15370;15810
Ni60;8884;8593;8072;55054;2462;2579;2552;2445;2416;6765;41893;4906;3680;2878;2525;6319;37657;2595;2652;2798;2869;2822;2794;36338;38056;6162;6432;6619
Cu63;30065;26447;24278;139753;3970;3877;3788;3282;3187;13250;100423;5942;2541;1976;2079;10704;88837;1857;2014;1711;1677;1670;1640;83655;84443;9673;9927;9810
Zn66;1895;2004;1778;19058;650;415;469;419;436;1570;14838;1269;569;718;1280;1392;13352;651;463;438;406;468;1535;12142;13548;1271;1401;1372
As75;2184;2051;2351;20072;617;668;689;718;812;2936;18919;1334;908;865;802;2908;17290;966;906;828;977;1012;1803;16669;16840;2770;2888;2651
Sr87;12637;13088;11894;119492;57611;61605;57089;48644;56151;9385;90715;102115;60896;84325;69083;8786;84970;70502;67881;60961;81905;83925;82615;79974;88372;8293;8769;8520
Sr88;57428;59414;59557;380491;890219;931996;810589;705620;844412;46181;281638;1878946;927136;1536026;1082709;42903;264244;1119795;1126135;942106;1418543;1449016;1334736;246224;259236;41200;43362;45054
Cd111;572;620;662;5023;28;32;33;33;23;604;5162;77;37;60;35;560;4838;34;50;51;39;55;68;4112;4853;552;606;517
Ba137;8373;8592;8459;89603;1281;1112;1295;1037;1182;7194;68435;2409;1477;1759;1504;6403;61336;1513;1397;1338;1629;1883;1990;59390;62930;5909;6154;6119
Ba138;55348;58021;55073;671032;7977;8333;7881;7417;8980;45694;496178;15787;9587;11874;10665;41441;454601;10171;10003;9458;11554;11642;12205;427862;443458;40014;39724;41129
Pb208;47893;48808;49322;577909;601;318;510;408;372;41669;438868;3508;556;583;662;38479;405725;676;685;1116;660;763;811;393558;411642;37876;36695;37235
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLITTER!: Mean Raw CPS background subtracted.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
